"","ID","tag","lon","lat","date","presAbs","unique","unique2"
"231",23,"163472",134.820122117485,7.72609109994955,2016-08-28,"0",474300,"2016-08-28474300"
"561",14,"163472",134.486559387052,7.25084661607398,2016-08-26,"0",475738,"2016-08-26475738"
"120",40,"163472",135.555546830024,7.67987163891084,2016-08-31,"0",474303,"2016-08-31474303"
"431",1,"163472",134.905529672717,7.73286083576968,2016-08-23,"0",474300,"2016-08-23474300"
"110",1,"163472",135.408897865651,7.95036155907437,2016-08-23,"0",472862,"2016-08-23472862"
"461",4,"163472",135.094170172646,7.69400357183767,2016-08-24,"0",474301,"2016-08-24474301"
"131",9,"163472",134.287655437901,7.15843789625214,2016-08-25,"0",477178,"2016-08-25477178"
"103",20,"163472",135.160367651674,8.03305358733633,2016-08-27,"0",471421,"2016-08-27471421"
"135",13,"163472",135.019099596777,7.9119717695401,2016-08-26,"0",472861,"2016-08-26472861"
"108",26,"163472",135.310045839363,7.98020051511121,2016-08-28,"0",472862,"2016-08-28472862"
"1.1",1,"163472",135.408897865651,7.95036155907437,2016-08-23,"0",472862,"2016-08-23472862"
"152",30,"163472",134.745147790434,7.23344614662929,2016-08-29,"0",477179,"2016-08-29477179"
"641",22,"163472",135.614821906918,8.03933681533672,2016-08-28,"0",471423,"2016-08-28471423"
"691",27,"163472",134.16406245252,7.26517704529106,2016-08-29,"0",475737,"2016-08-29475737"
"801",38,"163472",134.432743134507,7.48035399435321,2016-08-31,"0",475738,"2016-08-31475738"
"351",35,"163472",135.426534090861,8.0783242853533,2016-08-30,"0",471422,"2016-08-30471422"
"331",33,"163472",134.807674595283,7.46331283112522,2016-08-30,"0",475740,"2016-08-30475740"
"118",38,"163472",135.287910240906,7.56384763477836,2016-08-31,"0",474302,"2016-08-31474302"
"146",24,"163472",135.453543706762,7.89702504654415,2016-08-28,"0",472862,"2016-08-28472862"
"148",26,"163472",134.30515839876,7.32687773811631,2016-08-28,"0",475738,"2016-08-28475738"
"501",8,"163472",135.396852572175,7.57630889941356,2016-08-25,"0",474302,"2016-08-25474302"
"50.1",8,"163472",135.396852572175,7.57630889941356,2016-08-25,"0",474302,"2016-08-25474302"
"581",16,"163472",135.546763012343,8.09150293741259,2016-08-26,"0",471423,"2016-08-26471423"
"491",7,"163472",135.391250298888,7.58039037607959,2016-08-25,"0",474302,"2016-08-25474302"
"791",37,"163472",134.958702664328,7.51795630767592,2016-08-31,"0",474300,"2016-08-31474300"
"131.1",9,"163472",134.287655437901,7.15843789625214,2016-08-25,"0",477178,"2016-08-25477178"
"134",12,"163472",134.603966496879,7.33520004762104,2016-08-26,"0",475739,"2016-08-26475739"
"92",9,"163472",134.268867534952,7.25806050605024,2016-08-25,"0",475738,"2016-08-25475738"
"144",22,"163472",135.498206861271,8.18863370026229,2016-08-28,"0",471422,"2016-08-28471422"
"1.2",1,"163472",135.408897865651,7.95036155907437,2016-08-23,"0",472862,"2016-08-23472862"
"92.1",9,"163472",134.268867534952,7.25806050605024,2016-08-25,"0",475738,"2016-08-25475738"
"107",25,"163472",135.586778304627,8.20155044076382,2016-08-28,"0",471423,"2016-08-28471423"
"153",31,"163472",134.888563605392,7.8118278573791,2016-08-29,"0",472860,"2016-08-29472860"
"121",41,"163472",134.892993766489,7.2489365937945,2016-08-31,"0",477180,"2016-08-31477180"
"771",35,"163472",135.195491669589,7.66310726818047,2016-08-30,"0",474301,"2016-08-30474301"
"149",27,"163472",134.96613237104,7.59875222828123,2016-08-29,"0",474300,"2016-08-29474300"
"136",14,"163472",134.540639358578,7.18716637291945,2016-08-26,"0",477179,"2016-08-26477179"
"301",30,"163472",135.197581076465,7.39673609776655,2016-08-29,"0",475741,"2016-08-29475741"
"291",29,"163472",135.081910008664,7.74635859434493,2016-08-29,"0",474301,"2016-08-29474301"
"137",15,"163472",135.371991299768,8.0587024042441,2016-08-26,"0",471422,"2016-08-26471422"
"101",10,"163472",134.932720871182,7.81405254048877,2016-08-25,"0",472860,"2016-08-25472860"
"671",25,"163472",135.069292243983,7.67205142208259,2016-08-28,"0",474301,"2016-08-28474301"
"1.3",1,"163472",135.408897865651,7.95036155907437,2016-08-23,"0",472862,"2016-08-23472862"
"135.1",13,"163472",135.019099596777,7.9119717695401,2016-08-26,"0",472861,"2016-08-26472861"
"541",12,"163472",135.574889308447,8.22362123645144,2016-08-26,"0",471423,"2016-08-26471423"
"1.4",1,"163472",135.408897865651,7.95036155907437,2016-08-23,"0",472862,"2016-08-23472862"
"54.1",12,"163472",135.574889308447,8.22362123645144,2016-08-26,"0",471423,"2016-08-26471423"
"125",3,"163472",134.728118414595,7.5194133052486,2016-08-24,"0",474299,"2016-08-24474299"
"113",33,"163472",135.239032036735,7.73933523396263,2016-08-30,"0",474301,"2016-08-30474301"
"50.2",8,"163472",135.396852572175,7.57630889941356,2016-08-25,"0",474302,"2016-08-25474302"
"46.1",4,"163472",135.094170172646,7.69400357183767,2016-08-24,"0",474301,"2016-08-24474301"
"411",41,"163472",135.146029812912,7.51939815392252,2016-08-31,"0",474301,"2016-08-31474301"
"162",41,"163472",134.978508595988,7.65818213657476,2016-08-31,"0",474300,"2016-08-31474300"
"410",4,"163472",135.338626872783,7.63413909241208,2016-08-24,"0",474302,"2016-08-24474302"
"115",35,"163472",134.486914567108,7.54582362874062,2016-08-30,"0",474298,"2016-08-30474298"
"341",34,"163472",135.34687480171,7.5052874728397,2016-08-30,"0",474302,"2016-08-30474302"
"86",3,"163472",135.295270828245,7.68268971967627,2016-08-24,"0",474302,"2016-08-24474302"
"141",19,"163472",135.394003528031,7.97843783079297,2016-08-27,"0",472862,"2016-08-27472862"
"211",21,"163472",135.489015222562,7.68694381313398,2016-08-27,"0",474302,"2016-08-27474302"
"134.1",12,"163472",134.603966496879,7.33520004762104,2016-08-26,"0",475739,"2016-08-26475739"
"46.2",4,"163472",135.094170172646,7.69400357183767,2016-08-24,"0",474301,"2016-08-24474301"
"361",36,"163472",135.190348275955,8.04186997804209,2016-08-30,"0",471421,"2016-08-30471421"
"310",3,"163472",135.437873777864,7.69934609335614,2016-08-24,"0",474302,"2016-08-24474302"
"181",18,"163472",134.810424853722,7.25242426751065,2016-08-27,"0",475740,"2016-08-27475740"
"3.1",3,"163472",135.437873777864,7.69934609335614,2016-08-24,"0",474302,"2016-08-24474302"
"710",7,"163472",135.317813211412,7.83267286138725,2016-08-25,"0",472862,"2016-08-25472862"
"30.1",30,"163472",135.197581076465,7.39673609776655,2016-08-29,"0",475741,"2016-08-29475741"
"122",12,"163472",135.47497890857,8.02787561893929,2016-08-26,"0",471422,"2016-08-26471422"
"241",24,"163472",135.321959189739,7.49772425555275,2016-08-28,"0",475742,"2016-08-28475742"
"64.1",22,"163472",135.614821906918,8.03933681533672,2016-08-28,"0",471423,"2016-08-28471423"
"85",8,"163472",135.33565291937,7.90644530495629,2016-08-25,"0",472862,"2016-08-25472862"
"33.1",33,"163472",134.807674595283,7.46331283112522,2016-08-30,"0",475740,"2016-08-30475740"
"421",42,"163472",134.236540298286,7.25666616820381,2016-08-31,"0",475737,"2016-08-31475737"
"104",21,"163472",134.95300226431,7.7177487547684,2016-08-27,"0",474300,"2016-08-27474300"
"80.1",38,"163472",134.432743134507,7.48035399435321,2016-08-31,"0",475738,"2016-08-31475738"
"621",20,"163472",134.817301204999,7.55416706915712,2016-08-27,"0",474300,"2016-08-27474300"
"201",20,"163472",134.884161713836,7.83533415122656,2016-08-27,"0",472860,"2016-08-27472860"
"34.1",34,"163472",135.34687480171,7.5052874728397,2016-08-30,"0",474302,"2016-08-30474302"
"107.1",25,"163472",135.586778304627,8.20155044076382,2016-08-28,"0",471423,"2016-08-28471423"
"711",29,"163472",134.949849924562,7.71035132160177,2016-08-29,"0",474300,"2016-08-29474300"
"107.2",25,"163472",135.586778304627,8.20155044076382,2016-08-28,"0",471423,"2016-08-28471423"
"111",29,"163472",135.070552524208,7.94106858127052,2016-08-29,"0",472861,"2016-08-29472861"
"510",5,"163472",135.444208709692,7.55595092488802,2016-08-24,"0",474302,"2016-08-24474302"
"156",35,"163472",134.125146204705,7.32259534594486,2016-08-30,"0",475737,"2016-08-30475737"
"1",1,"163472",134.1,7.35,2016-08-23,"1",475737,"2016-08-23475737"
"2",2,"163472",134.1,7.325,2016-08-24,"1",475737,"2016-08-24475737"
"3",3,"163472",134.1,7.25,2016-08-24,"1",477177,"2016-08-24477177"
"4",4,"163472",134.1,7.225,2016-08-24,"1",477177,"2016-08-24477177"
"5",5,"163472",134.1,7.225,2016-08-24,"1",477177,"2016-08-24477177"
"6",6,"163472",134.075,7.2,2016-08-24,"1",477177,"2016-08-24477177"
"7",7,"163472",134.1,7.175,2016-08-25,"1",477177,"2016-08-25477177"
"8",8,"163472",134.1,7.15,2016-08-25,"1",477177,"2016-08-25477177"
"9",9,"163472",134.1,7.15,2016-08-25,"1",477177,"2016-08-25477177"
"10",10,"163472",134.1,7.125,2016-08-25,"1",477177,"2016-08-25477177"
"11",11,"163472",134.1,7.125,2016-08-25,"1",477177,"2016-08-25477177"
"12",12,"163472",134.125,7.125,2016-08-26,"1",477177,"2016-08-26477177"
"13",13,"163472",134.175,7.125,2016-08-26,"1",477177,"2016-08-26477177"
"14",14,"163472",134.2,7.125,2016-08-26,"1",477177,"2016-08-26477177"
"15",15,"163472",134.275,7.15,2016-08-26,"1",477178,"2016-08-26477178"
"16",16,"163472",134.275,7.15,2016-08-26,"1",477178,"2016-08-26477178"
"17",17,"163472",134.325,7.15,2016-08-27,"1",477178,"2016-08-27477178"
"18",18,"163472",134.525,7.175,2016-08-27,"1",477179,"2016-08-27477179"
"19",19,"163472",134.575,7.175,2016-08-27,"1",477179,"2016-08-27477179"
"20",20,"163472",134.7,7.15,2016-08-27,"1",477179,"2016-08-27477179"
"21",21,"163472",134.725,7.15,2016-08-27,"1",477179,"2016-08-27477179"
"22",22,"163472",134.75,7.175,2016-08-28,"1",477180,"2016-08-28477180"
"23",23,"163472",134.95,7.25,2016-08-28,"1",477180,"2016-08-28477180"
"24",24,"163472",135,7.275,2016-08-28,"1",475741,"2016-08-28475741"
"25",25,"163472",135.075,7.3,2016-08-28,"1",475741,"2016-08-28475741"
"26",26,"163472",135.175,7.375,2016-08-28,"1",475741,"2016-08-28475741"
"27",27,"163472",135.25,7.425,2016-08-29,"1",475742,"2016-08-29475742"
"28",28,"163472",135.45,7.55,2016-08-29,"1",474302,"2016-08-29474302"
"29",29,"163472",135.475,7.6,2016-08-29,"1",474302,"2016-08-29474302"
"30",30,"163472",135.575,7.7,2016-08-29,"1",474303,"2016-08-29474303"
"31",31,"163472",135.575,7.7,2016-08-29,"1",474303,"2016-08-29474303"
"32",32,"163472",135.6,7.75,2016-08-30,"1",474303,"2016-08-30474303"
"33",33,"163472",135.625,7.875,2016-08-30,"1",472863,"2016-08-30472863"
"34",34,"163472",135.625,7.9,2016-08-30,"1",472863,"2016-08-30472863"
"35",35,"163472",135.65,8,2016-08-30,"1",472863,"2016-08-30472863"
"36",36,"163472",135.65,8,2016-08-30,"1",472863,"2016-08-30472863"
"37",37,"163472",135.65,8.05,2016-08-31,"1",471423,"2016-08-31471423"
"38",38,"163472",135.65,8.15,2016-08-31,"1",471423,"2016-08-31471423"
"39",39,"163472",135.65,8.2,2016-08-31,"1",471423,"2016-08-31471423"
"40",40,"163472",135.65,8.35,2016-08-31,"1",469983,"2016-08-31469983"
"41",41,"163472",135.65,8.35,2016-08-31,"1",469983,"2016-08-31469983"
"42",42,"163472",135.65,8.35,2016-08-31,"1",469983,"2016-08-31469983"
"43",1,"163472",134.1,7.35,2016-08-23,"1",475737,"2016-08-23475737"
"44",2,"163472",134.1,7.325,2016-08-24,"1",475737,"2016-08-24475737"
"45",3,"163472",134.1,7.25,2016-08-24,"1",477177,"2016-08-24477177"
"46",4,"163472",134.1,7.225,2016-08-24,"1",477177,"2016-08-24477177"
"47",5,"163472",134.1,7.225,2016-08-24,"1",477177,"2016-08-24477177"
"48",6,"163472",134.075,7.2,2016-08-24,"1",477177,"2016-08-24477177"
"49",7,"163472",134.1,7.175,2016-08-25,"1",477177,"2016-08-25477177"
"50",8,"163472",134.1,7.15,2016-08-25,"1",477177,"2016-08-25477177"
"51",9,"163472",134.1,7.15,2016-08-25,"1",477177,"2016-08-25477177"
"52",10,"163472",134.1,7.125,2016-08-25,"1",477177,"2016-08-25477177"
"53",11,"163472",134.1,7.125,2016-08-25,"1",477177,"2016-08-25477177"
"54",12,"163472",134.125,7.125,2016-08-26,"1",477177,"2016-08-26477177"
"55",13,"163472",134.175,7.125,2016-08-26,"1",477177,"2016-08-26477177"
"56",14,"163472",134.2,7.125,2016-08-26,"1",477177,"2016-08-26477177"
"57",15,"163472",134.275,7.15,2016-08-26,"1",477178,"2016-08-26477178"
"58",16,"163472",134.275,7.15,2016-08-26,"1",477178,"2016-08-26477178"
"59",17,"163472",134.325,7.15,2016-08-27,"1",477178,"2016-08-27477178"
"60",18,"163472",134.525,7.175,2016-08-27,"1",477179,"2016-08-27477179"
"61",19,"163472",134.575,7.175,2016-08-27,"1",477179,"2016-08-27477179"
"62",20,"163472",134.7,7.15,2016-08-27,"1",477179,"2016-08-27477179"
"63",21,"163472",134.725,7.15,2016-08-27,"1",477179,"2016-08-27477179"
"64",22,"163472",134.75,7.175,2016-08-28,"1",477180,"2016-08-28477180"
"65",23,"163472",134.95,7.25,2016-08-28,"1",477180,"2016-08-28477180"
"66",24,"163472",135,7.275,2016-08-28,"1",475741,"2016-08-28475741"
"67",25,"163472",135.075,7.3,2016-08-28,"1",475741,"2016-08-28475741"
"68",26,"163472",135.175,7.375,2016-08-28,"1",475741,"2016-08-28475741"
"69",27,"163472",135.25,7.425,2016-08-29,"1",475742,"2016-08-29475742"
"70",28,"163472",135.45,7.55,2016-08-29,"1",474302,"2016-08-29474302"
"71",29,"163472",135.475,7.6,2016-08-29,"1",474302,"2016-08-29474302"
"72",30,"163472",135.575,7.7,2016-08-29,"1",474303,"2016-08-29474303"
"73",31,"163472",135.575,7.7,2016-08-29,"1",474303,"2016-08-29474303"
"74",32,"163472",135.6,7.75,2016-08-30,"1",474303,"2016-08-30474303"
"75",33,"163472",135.625,7.875,2016-08-30,"1",472863,"2016-08-30472863"
"76",34,"163472",135.625,7.9,2016-08-30,"1",472863,"2016-08-30472863"
"77",35,"163472",135.65,8,2016-08-30,"1",472863,"2016-08-30472863"
"78",36,"163472",135.65,8,2016-08-30,"1",472863,"2016-08-30472863"
"79",37,"163472",135.65,8.05,2016-08-31,"1",471423,"2016-08-31471423"
"80",38,"163472",135.65,8.15,2016-08-31,"1",471423,"2016-08-31471423"
"81",39,"163472",135.65,8.2,2016-08-31,"1",471423,"2016-08-31471423"
"82",40,"163472",135.65,8.35,2016-08-31,"1",469983,"2016-08-31469983"
"83",41,"163472",135.65,8.35,2016-08-31,"1",469983,"2016-08-31469983"
"84",42,"163472",135.65,8.35,2016-08-31,"1",469983,"2016-08-31469983"
